Time,Channel A,Channel B
(us),(mV),(mV)

0.06400000,-21.51513000,-201.24870000
0.06500000,-17.85494000,-200.32600000
0.06600000,-13.70263000,-202.30990000
0.06700000,-10.27313000,-206.44680000
0.06800000,-4.78284900,-210.70680000
0.06900000,1.89160900,-214.13630000
0.07000000,4.04466000,-219.51890000
0.07100000,1.29183100,-225.71660000
0.07200000,-0.93811510,-229.91510000
0.07300000,-2.30684000,-231.05310000
0.07400000,-6.56680600,-234.15970000
0.07500000,-12.76452000,-238.28120000
0.07600000,-18.14714000,-241.49540000
0.07700000,-21.57665000,-243.09480000
0.07800000,-25.72896000,-245.26330000
0.07900000,-29.38915000,-247.55470000
0.08000000,-33.60298000,-247.38560000
0.08100000,-37.26316000,-244.38670000
0.08200000,-41.47699000,-245.38630000
0.08300000,-45.13718000,-249.98460000
0.08400000,-49.35101000,-253.30650000
0.08500000,-53.01119000,-254.90590000
0.08600000,-57.16351000,-257.01280000
0.08700000,-60.59301000,-259.08900000
0.08800000,-65.91412000,-260.01170000
0.08900000,-71.88115000,-259.31960000
0.09000000,-77.24840000,-261.36500000
0.09100000,-80.92397000,-265.50200000
0.09200000,-84.13816000,-269.82350000
0.09300000,-86.19894000,-273.48360000
0.09400000,-86.19894000,-277.75900000
0.09500000,-84.13816000,-281.64980000
0.09600000,-80.92397000,-284.69490000
0.09700000,-77.24840000,-285.83290000
0.09800000,-72.00418000,-290.03130000
0.09900000,-66.49852000,-296.22910000
0.10000000,-58.90133000,-301.61170000
0.10100000,-50.64284000,-305.04120000
0.10200000,-45.38324000,-309.19350000
0.10300000,-44.47588000,-312.85370000
0.10400000,-41.55389000,-317.06750000
0.10500000,-37.87832000,-320.72770000
0.10600000,-32.51107000,-324.94150000
0.10700000,-26.54404000,-328.60170000
0.10800000,-21.28445000,-332.81560000
0.10900000,-18.08563000,-336.47570000
0.11000000,-12.88755000,-340.75110000
0.11100000,-7.15120500,-344.64200000
0.11200000,-0.78432570,-347.79460000
0.11300000,4.72133400,-349.39410000
0.11400000,11.02670000,-351.33180000
0.11500000,16.53236000,-352.70050000
0.11600000,23.06841000,-357.02200000
0.11700000,29.49680000,-363.45040000
0.11800000,31.60371000,-367.89490000
0.11900000,28.85088000,-369.72500000
0.12000000,26.55942000,-369.49430000
0.12100000,24.96001000,-366.72610000
0.12200000,21.80733000,-366.66460000
0.12300000,17.91646000,-369.20210000
0.12400000,13.64112000,-370.37090000
0.12500000,9.98092900,-370.14020000
0.12600000,5.65944900,-370.14020000
0.12700000,1.52251500,-370.37090000
0.12800000,-0.52288380,-369.26360000
0.12900000,0.16916830,-366.95680000
0.13000000,-0.75356790,-365.84950000
0.13100000,-2.82972400,-366.08020000
0.13200000,-4.87512300,-366.08020000
0.13300000,-6.24384800,-365.84950000
0.13400000,-10.50381000,-367.01830000
0.13500000,-16.70152000,-369.55580000
0.13600000,-22.02264000,-369.55580000
0.13700000,-25.22145000,-367.01830000
0.13800000,-30.54257000,-365.84950000
0.13900000,-36.74028000,-366.08020000
0.14000000,-41.00024000,-366.08020000
0.14100000,-42.36897000,-365.84950000
0.14200000,-44.47588000,-367.01830000
0.14300000,-46.76735000,-369.55580000
0.14400000,-46.89037000,-369.49430000
0.14500000,-45.06028000,-366.72610000
0.14600000,-40.73880000,-366.61850000
0.14700000,-34.77177000,-368.90990000
0.14800000,-28.28186000,-371.07830000
0.14900000,-22.54552000,-372.67780000
0.15000000,-17.28592000,-375.89200000
0.15100000,-13.85642000,-380.01350000
0.15200000,-9.64259300,-383.22770000
0.15300000,-5.75172200,-384.82710000
0.15400000,-2.66055600,-386.87250000
0.15500000,-1.27645200,-388.71800000
0.15600000,1.81471400,-390.80950000
0.15700000,5.70558500,-392.65500000
0.15800000,9.98092900,-394.86960000
0.15900000,13.64112000,-397.16100000
